ID,name,province,municipality,altitude,gradient,distance,mountain_slope,technical_difficulty,url,peak_coords,photo,peak_coords_MDB
633,Plataforma Del Nogal Del Barranco,Ávila,Arenas de San Pedro,1080,575,8.3,6.9,113,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0188,"(40.23407065000001,-5.162066880652852)",,"[-5.162066880652852,40.23407065000001]"
634,Refugio De Lizara,Huesca,Aragües del Puerto,1505,616,12.0,5.0,112,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1164,"(42.7641022,-0.6340553725166804)",,"[-0.6340553725166804,42.7641022]"
636,Puerto De Las Palomas,Jaén,Las Juntas de Muriel,1244,723,16.0,4.4,112,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1354,"(37.9413862,-2.939634)",,"[-2.939634,37.9413862]"
637,Pozazal,Cantabria,Bárcena Pie de Concha,1002,704,29.0,2.1,112,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0568,"(42.9190553,-4.1217733)",,"[-4.1217733,42.9190553]"
638,Santa Ageda,Gipuzkoa,Nuarbe,700,542,8.3,6.6,112,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0023,"(43.0633689,-2.5295471)",,"[-2.5295471,43.0633689]"
642,Fanlo,Huesca,Sarvisé,1373,515,11.0,4.6,111,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1785,"(42.587154,-0.0213205)",,"[-0.0213205,42.587154]"
643,Benimantell,Alicante,Polop,677,445,8.3,5.3,111,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1025,"(38.6760377,-0.2100878)",,"[-0.2100878,38.6760377]"
644,Coves De Canelobre,Alicante,El Campello,555,539,17.0,3.1,110,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0976,"(38.4980713,-0.4193174)",,"[-0.4193174,38.4980713]"
649,Puerto De El Colmenar,Málaga,Jubrique (Sur),755,524,9.8,5.3,109,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0605,"(36.8113666,-4.368904049999997)",,"[-4.368904049999997,36.8113666]"
651,"Parador Nacional ""El Adelantado""",Jaén,Río Guadalquivir,1340,532,12.0,4.4,108,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1129,"(37.903256,-2.962024526048019)",,"[-2.962024526048019,37.903256]"
656,Gaintza,Gipuzkoa,Zaldibia,446,280,2.4,11.0,107,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1542,"(43.0530503,-2.1331865)",,"[-2.1331865,43.0530503]"
657,Fuente Dé,Cantabria,Camaleño,1105,690,16.0,4.2,107,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1193,"(43.1436636,-4.811513596360818)",,"[-4.811513596360818,43.1436636]"
659,Cortegana,Huelva,Gil Márquez,696,433,13.0,3.3,106,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0732,"(37.9093023,-6.8196169)",,"[-6.8196169,37.9093023]"
664,Mirador Del Xap,Alicante,Benialí,629,328,3.4,9.7,105,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1334,"(38.8175411,-0.2092126)",,"[-0.2092126,38.8175411]"
665,Pedro Bernardo,Ávila,Pedro Bernardo,1242,807,18.0,4.4,105,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0222,"(40.2439312,-4.9108472)",,"[-4.9108472,40.2439312]"
668,Batuecas,Salamanca,Mogarraz,1243,694,15.0,4.5,104,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0854,"(40.4550662,-6.065833424198021)",,"[-6.065833424198021,40.4550662]"
669,Nogueruelas,Teruel,Rubielos de Mora,1543,601,14.0,4.0,104,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0716,"(40.2377581,-0.6361851)",,"[-0.6361851,40.2377581]"
670,Luintra-Nogueira De Ramuin,Ourense,C-546 A Pereira,706,524,9.8,5.3,104,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1702,"(42.4123633,-7.7262781)",,"[-7.7262781,42.4123633]"
671,Elorrieta,Bizkaia,Gernika,372,348,4.8,7.1,104,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1305,"(43.2827913,-2.9658373)",,"[-2.9658373,43.2827913]"
672,Costa Do Vieiro,A Coruña,A Ponte Aranga,557,291,2.8,10.0,104,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1461,"(43.236595,-8.0043889)",,"[-8.0043889,43.236595]"
673,O Carazo-Igrexafeita,A Coruña,Castillo de Naraío,454,386,6.8,5.6,104,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1945,"(43.4977345,-8.0399276)",,"[-8.0399276,43.4977345]"
675,Puebla De La Sierra,Madrid,Sur,1638,518,9.7,5.4,103,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0219,"(41.0121247,-3.4444367)",,"[-3.4444367,41.0121247]"
