ID,municipality,ccaa,province,municipality_inhabitants,geographic_area,radius,routes_number,routes_ids,mountain_passes_ids,coords
7553,Lemoa,País Vasco,Bizkaia,3504,15.4153,2.2151367709881606,11,"[1282, 1525, 311, 1282, 3744, 3744, 3744, 8804, 1029, 1028, 4306]",,"[-2.77374548,43.20454111]"
7552,Leioa,País Vasco,Bizkaia,32013,8.3863,1.6338408601209182,26,"[8365, 1609, 6936, 7199, 1609, 6929, 2929, 8724, 8365, 5694, 5694, 6940, 4934, 8724, 8476, 1280, 8724, 8365, 8604, 6244, 10329, 8365, 1572, 6931, 8365, 1587]",,"[-2.98639022,43.3279756]"
7551,Laukiz,País Vasco,Bizkaia,1227,8.1095,1.6066511711444245,11,"[1521, 8724, 4934, 8724, 8724, 8604, 1572, 1521, 1028, 181, 4191]",,"[-2.90710359,43.35202538]"
7550,Larrabetzu,País Vasco,Bizkaia,2037,21.5436,2.6186876156031027,21,"[1282, 8365, 8724, 182, 8365, 182, 182, 4934, 8724, 1282, 8724, 3253, 8365, 8604, 8365, 8804, 1029, 1572, 1028, 8365, 181]",,"[-2.79596305,43.26002486]"
7549,Lanestosa,País Vasco,Bizkaia,253,1.14372,0.6033709735341853,3,"[1092, 8957, 5980]",,"[-3.43887867,43.21915613]"
7548,Izurtza,País Vasco,Bizkaia,252,4.3655,1.1788038677813226,22,"[1282, 1525, 7133, 7133, 182, 7133, 7133, 182, 7133, 7133, 182, 7133, 7133, 7133, 1282, 7133, 3744, 3744, 3744, 7133, 7133, 7133]",,"[-2.63980743,43.15396814]"
7544,Gernika-Lumo,País Vasco,Bizkaia,17105,8.531799999999999,1.6479532567212491,31,"[8365, 1525, 7133, 7133, 311, 9764, 8724, 182, 8365, 7133, 7133, 182, 7133, 7133, 182, 7133, 4934, 7133, 7133, 8724, 8724, 3253, 8365, 7133, 8365, 7133, 1029, 1028, 8365, 7133, 7133]",,"[-2.68146436,43.31451965]"
7543,Güeñes,País Vasco,Bizkaia,6736,41.4767,3.633512458117508,28,"[2516, 3290, 6936, 4749, 8668, 9189, 5694, 5491, 5694, 6940, 4934, 1618, 1618, 8476, 5491, 7995, 4489, 1618, 1280, 4749, 9303, 6244, 10325, 1003, 9701, 1613, 8590, 5478]",,"[-3.09591381,43.21290309]"
7542,Getxo,País Vasco,Bizkaia,77770,11.8727,1.9440136183439136,8,"[8365, 8365, 4934, 8365, 8604, 8365, 1572, 8365]",,"[-3.0180508,43.36274172]"
7541,Gorliz,País Vasco,Bizkaia,5891,10.2283,1.8043728537825208,8,"[8365, 8365, 8365, 8604, 8365, 1572, 8365, 4191]",,"[-2.93434507,43.41285171]"
7540,Gordexola,País Vasco,Bizkaia,1697,41.3001,3.625768799695652,26,"[2516, 3290, 6936, 4749, 8668, 9189, 5694, 5491, 5694, 6940, 4934, 1618, 1618, 8476, 5491, 7995, 4489, 1618, 1280, 4749, 6244, 10325, 1003, 1613, 8590, 5478]",,"[-3.06897692,43.17987494]"
7539,Gautegiz Arteaga,País Vasco,Bizkaia,808,13.5441,2.076345551196995,24,"[8365, 1525, 7133, 7133, 311, 9764, 8365, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 3253, 8365, 7133, 8365, 7133, 1029, 1028, 8365, 7133, 7133]",,"[-2.64924081,43.35315359]"
7538,Gatika,País Vasco,Bizkaia,1665,17.2868,2.3457507269816005,12,"[1521, 8724, 4934, 8724, 8724, 3253, 8604, 1572, 1521, 1028, 181, 4191]",,"[-2.8795362,43.35882496]"
7535,Galdames,País Vasco,Bizkaia,838,44.4133,3.7599414103438153,25,"[2516, 1609, 6936, 4749, 9189, 1609, 6929, 2929, 3270, 5694, 5694, 6940, 4934, 1618, 1618, 8476, 1618, 4749, 9303, 10325, 6931, 1003, 9701, 1613, 8590]",,"[-3.09770229,43.25381878]"
7534,Galdakao,País Vasco,Bizkaia,29427,31.4704,3.165014378690248,23,"[1282, 8365, 4730, 8724, 182, 8365, 182, 182, 4934, 9561, 8724, 1282, 8724, 3253, 8365, 8604, 8365, 8804, 1029, 1572, 1028, 8365, 181]",,"[-2.84005,43.231094]"
7533,Fruiz,País Vasco,Bizkaia,552,5.6245,1.3380320505395022,11,"[1521, 8724, 4934, 8724, 8724, 8604, 1572, 9618, 1521, 1028, 181]",,"[-2.78340441,43.33030958]"
7532,Ermua,País Vasco,Bizkaia,15847,6.4697000000000005,1.4350486594373344,23,"[4894, 2774, 7133, 2774, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 4894, 2774, 7133, 4894, 7133, 7133, 2774, 4894, 7133, 4894, 4894]",,"[-2.50233303,43.18608445]"
7530,Elorrio,País Vasco,Bizkaia,7375,37.0086,3.4322260570431977,23,"[4894, 7133, 2638, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 4894, 7133, 3744, 3744, 4894, 3744, 7133, 7133, 4894, 7133, 4894, 4894]",,"[-2.5427476,43.12992838]"
7528,Etxebarria,País Vasco,Bizkaia,782,17.837045,2.382791322563868,14,"[7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 1200, 7133, 7133]",,"[-2.47574648,43.25414902]"
7527,Etxebarri,País Vasco,Bizkaia,11691,3.2723,1.0205895378840109,20,"[1282, 8365, 4730, 182, 8365, 182, 182, 9720, 9561, 1282, 3253, 8365, 8604, 8365, 8804, 1572, 1028, 8365, 1613, 181]",,"[-2.89082182,43.24590978]"
7526,Ea,País Vasco,Bizkaia,808,14.228699999999998,2.1281741673270607,15,"[7133, 7133, 311, 9764, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133]",,"[-2.58524914,43.38007829]"
7525,Durango,País Vasco,Bizkaia,30118,10.7255,1.847707958739532,32,"[4894, 1282, 3289, 1525, 7133, 7133, 182, 7133, 7133, 182, 7133, 7133, 182, 7133, 3289, 7133, 7133, 1282, 4894, 7133, 3744, 3744, 4894, 3744, 7133, 1029, 9477, 7133, 4894, 7133, 4894, 4894]",,"[-2.63090395,43.16798721]"
7523,Zeberio,País Vasco,Bizkaia,1095,47.6805,3.8957847781202126,9,"[1525, 8259, 4730, 311, 182, 182, 182, 1029, 4306]",,"[-2.84912327,43.14760254]"
7522,Zeanuri,País Vasco,Bizkaia,1245,67.20439999999999,4.625124310953695,16,"[1282, 1525, 8259, 311, 182, 182, 182, 1282, 3744, 3744, 3744, 8804, 1029, 9667, 1028, 4306]",,"[-2.749646,43.098176]"
7520,Karrantza Harana,País Vasco,Bizkaia,2803,137.8243,6.623498671963282,7,"[1092, 8957, 9189, 5980, 1618, 1618, 1618]",,"[-3.35904955,43.22242334]"
7519,Busturia,País Vasco,Bizkaia,1632,20.2235,2.537188390713624,25,"[8365, 1525, 7133, 1521, 7133, 311, 9764, 8365, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 3253, 8365, 7133, 8365, 7133, 1521, 1028, 8365, 7133, 7133]",,"[-2.69709998,43.38661629]"
7518,Bilbao,País Vasco,Bizkaia,350184,41.3426,3.627633874493757,54,"[2516, 1282, 3290, 8365, 1609, 6936, 4749, 32, 4730, 8668, 1609, 2929, 8724, 182, 8365, 5694, 182, 5694, 2261, 182, 9720, 6940, 4934, 9561, 1618, 1618, 8724, 8476, 1282, 4489, 1618, 1280, 8724, 2261, 3253, 8365, 4749, 2261, 8604, 6244, 8365, 8381, 2261, 8804, 10325, 1572, 1028, 9992, 8365, 1613, 8590, 1587, 181, 4191]",,"[-2.92390606,43.25721957]"
7517,Berriz,País Vasco,Bizkaia,4580,29.7695,3.07829563199554,25,"[4894, 3289, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 3289, 7133, 7133, 4894, 7133, 3744, 3744, 4894, 3744, 7133, 9477, 7133, 4894, 7133, 4894, 4894]",,"[-2.57311295,43.16900115]"
7516,Berriatua,País Vasco,Bizkaia,1251,19.202,2.4722807570306222,17,"[7133, 7133, 311, 9764, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 4995, 7133, 1200, 7133, 7133]",,"[-2.46862195,43.30832374]"
7515,Bermeo,País Vasco,Bizkaia,16864,33.8079,3.2804517427274607,24,"[8365, 1525, 7133, 1521, 7133, 311, 9764, 8365, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 3253, 8365, 7133, 8365, 7133, 1521, 8365, 7133, 7133]",,"[-2.72254057,43.42025856]"
7513,Basauri,País Vasco,Bizkaia,40847,7.0115,1.4939292312559582,21,"[1282, 8365, 4730, 182, 8365, 182, 182, 9720, 9561, 1282, 3253, 8365, 8604, 8365, 8804, 1029, 1572, 1028, 8365, 1613, 181]",,"[-2.88543426,43.23529698]"
7512,Barrika,País Vasco,Bizkaia,1533,7.7429,1.5699158749250663,10,"[8365, 1521, 8365, 4934, 8365, 8604, 8365, 1572, 1521, 8365]",,"[-2.96142439,43.40627295]"
7511,Barakaldo,País Vasco,Bizkaia,101486,24.9856,2.8201320703685786,49,"[2516, 1282, 3290, 8365, 1609, 6936, 4749, 32, 7199, 8668, 1609, 6929, 2929, 8724, 8365, 5694, 5694, 2261, 6940, 4934, 1618, 1618, 8724, 8476, 1282, 4489, 1618, 1280, 8724, 2261, 8365, 4749, 2261, 9303, 8604, 6244, 10329, 8365, 2261, 10325, 1572, 6931, 1028, 9992, 8365, 1613, 8590, 1587, 4191]",,"[-2.99732045,43.29567704]"
7510,Bakio,País Vasco,Bizkaia,2676,16.5895,2.297953330363932,9,"[8365, 1521, 8365, 8365, 8365, 9618, 1521, 8365, 4191]",,"[-2.81421046,43.42139025]"
7509,Arrigorriaga,País Vasco,Bizkaia,12225,16.2498,2.2743042657147106,14,"[8259, 4730, 182, 182, 182, 9720, 9561, 3253, 8604, 8804, 1029, 1572, 1028, 1613]",,"[-2.88839541,43.20562043]"
7507,Arrankudiaga,País Vasco,Bizkaia,965,22.6813,2.6869434565659893,11,"[3290, 8259, 4730, 182, 182, 182, 9561, 8804, 1029, 1028, 1613]",,"[-2.92103826,43.17030046]"
7506,Artzentales,País Vasco,Bizkaia,699,36.7936,3.4222418443399065,10,"[9189, 6929, 5694, 5694, 4934, 1618, 1618, 1618, 1003, 9701]",,"[-3.22045771,43.25143423]"
7505,Munitibar-Arbatzegi Gerrikaitz,País Vasco,Bizkaia,473,24.3122,2.7818690692064,24,"[4894, 3289, 1525, 7133, 7133, 9764, 7133, 7133, 7133, 7133, 7133, 3289, 7133, 7133, 4894, 7133, 4894, 7133, 1029, 7133, 4894, 7133, 4894, 4894]",,"[-2.5919933,43.26535778]"
7503,Arakaldo,País Vasco,Bizkaia,165,2.7199,0.930467105752096,3,"[8804, 1028, 1613]",,"[-2.93391223,43.15402278]"
7501,Amorebieta-Etxano,País Vasco,Bizkaia,19529,58.84479999999999,4.327913791847212,27,"[1282, 1525, 7133, 7133, 311, 182, 7133, 7133, 182, 7133, 7133, 182, 7133, 7133, 7133, 1282, 7133, 3744, 3744, 3744, 7133, 8804, 1029, 1028, 4306, 7133, 7133]",,"[-2.73512007,43.21819018]"
7500,Abanto y Ciérvana-Abanto Zierbena,País Vasco,Bizkaia,9471,16.195999999999998,2.270536249703407,18,"[1609, 6936, 4749, 7199, 1609, 6929, 3270, 5694, 5694, 1618, 1618, 8476, 1618, 4749, 9303, 10329, 6931, 1587]",,"[-3.073873,43.320733]"
7499,Abadiño,País Vasco,Bizkaia,7658,35.9292,3.381803190451177,31,"[4894, 1282, 3289, 1525, 7133, 7133, 182, 7133, 7133, 182, 7133, 7133, 182, 7133, 3289, 7133, 7133, 1282, 4894, 7133, 3744, 3744, 4894, 3744, 7133, 9477, 7133, 4894, 7133, 4894, 4894]",,"[-2.60687319,43.14764599]"
7257,València,Comunitat Valenciana,Valencia,800215,139.2687,6.658115377640355,11,"[7231, 528, 7231, 7231, 7734, 2478, 1472, 528, 7040, 5225, 8540]",,"[-0.37565717,39.47534441]"
