ID,municipality,ccaa,province,municipality_inhabitants,geographic_area,radius,routes_number,routes_ids,mountain_passes_ids,coords
7580,Santurtzi,País Vasco,Bizkaia,46069,8.8651,1.6798340314783962,24,"[1070, 1572, 1587, 1609, 1616, 1618, 3907, 4749, 4934, 5694, 6929, 6931, 6933, 6936, 6940, 7199, 8365, 8421, 8445, 8476, 8604, 9303, 9957, 10329]",,"(43.32400824,-3.03869859)"
7024,Alzira,Comunitat Valenciana,Valencia,44938,110.49,5.930428069013382,4,"[3543, 5903, 7231, 7734]",,"(39.14944832,-0.43554456)"
200,Dénia,Comunitat Valenciana,Alicante,42827,66.17916,4.589709318376964,4,"[1469, 2678, 2762, 6313]",,"(38.84122705,0.10661934)"
4495,Antequera,Andalucía,Málaga,41318,748.0345,15.430690838735364,4,"[5997, 8379, 8410, 9089]",,"(37.0142215,-4.55804451)"
7513,Basauri,País Vasco,Bizkaia,40847,7.0115,1.4939292312559582,16,"[181, 182, 1029, 1282, 1504, 1572, 1613, 3251, 3252, 3253, 4730, 6933, 8365, 8604, 9561, 9720]",,"(43.23529698,-2.88543426)"
3215,Errenteria,País Vasco,Gipuzkoa,39540,32.259143,3.204431326269481,18,"[211, 226, 253, 334, 2719, 2722, 2728, 3147, 3641, 3771, 4198, 7133, 7243, 7636, 7639, 7640, 8913, 9654]",,"(43.3142023,-1.90440508)"
5025,Langreo,Asturias,Asturias,39183,83.53829999999999,5.156646641340828,10,"[825, 848, 2255, 2350, 3378, 3940, 3987, 4485, 5310, 5325]",,"(43.29473461,-5.68337382)"
1044,Ripollet,Cataluña,Barcelona,39179,4.402908,1.1838436835469883,3,"[1292, 6228, 8149]",,"(41.49708333,2.15517594)"
2186,Narón,Galicia,A Coruña,39056,66.91135,4.615029187097207,6,"[3172, 6920, 8675, 9657, 10055, 10155]",,"(43.50114268,-8.192446569)"
5032,Mieres,Asturias,Asturias,37537,146.0375,6.817996135320684,14,"[265, 825, 848, 923, 925, 2255, 2350, 3987, 4115, 4340, 4485, 5325, 5609, 5611]",,"(43.25363001,-5.7779978)"
7191,Ontinyent,Comunitat Valenciana,Valencia,35761,125.429562,6.318653040119045,3,"[646, 7748, 8422]",,"(38.82288129,-0.60649062)"
273,Villajoyosa,Comunitat Valenciana,Alicante,35199,59.248127,4.342720398657003,5,"[621, 629, 1469, 7023, 9500]",,"(38.50545611,-0.2319288)"
3603,Úbeda,Andalucía,Jaén,34329,403.9689,11.33962053547051,3,"[7569, 8765, 9522]",,"(38.01149823,-3.3711916)"
274,Villena,Comunitat Valenciana,Alicante,34155,345.3821,10.485145676498613,4,"[646, 650, 7748, 8422]",,"(38.62963811,-0.86138343)"
4563,Ronda,Andalucía,Málaga,33730,397.2364,11.24473110354518,9,"[120, 382, 393, 4541, 4584, 6199, 6385, 8396, 8834]",,"(36.73725905,-5.1654186)"
2137,Arteixo,Galicia,A Coruña,32738,93.67961,5.460684596904529,3,"[8189, 10044, 10048]",,"(43.30474474,-8.505070236)"
5797,Castro-Urdiales,Cantabria,Cantabria,32270,96.0552,5.529488971065105,7,"[1616, 1618, 3270, 5694, 7091, 8532, 9957]",,"(43.38375,-3.217666667)"
7552,Leioa,País Vasco,Bizkaia,32013,8.3863,1.6338408601209182,23,"[1280, 1572, 1587, 1609, 1616, 2929, 4629, 4934, 5694, 6244, 6929, 6931, 6933, 6936, 6940, 7199, 8365, 8421, 8445, 8476, 8604, 8724, 10329]",,"(43.3279756,-2.98639022)"
7166,Manises,Comunitat Valenciana,Valencia,31240,19.652934,2.5011414506480305,5,"[528, 1469, 1472, 5225, 7040]",,"(39.49163946,-0.45700309)"
5793,Camargo,Cantabria,Cantabria,30320,36.9837,3.431071233450934,3,"[1144, 8585, 10421]",,"(43.42352778,-3.855083333)"
7117,Xirivella,Comunitat Valenciana,Valencia,30197,5.13,1.2778598896717042,3,"[1469, 1472, 7734]",,"(39.46575132,-0.4252401)"
7525,Durango,País Vasco,Bizkaia,30118,10.7255,1.847707958739532,24,"[93, 182, 334, 385, 872, 1029, 1084, 1282, 1504, 1525, 3289, 3339, 3411, 3744, 4894, 4964, 7133, 7597, 8559, 8863, 8913, 8917, 8997, 9477]",,"(43.16798721,-2.63090395)"
7534,Galdakao,País Vasco,Bizkaia,29427,31.4704,3.165014378690248,19,"[181, 182, 872, 1029, 1282, 1504, 1572, 3251, 3252, 3253, 4730, 4934, 6933, 8365, 8604, 8724, 8863, 8866, 9561]",,"(43.231094,-2.84005)"
187,el Campello,Comunitat Valenciana,Alicante,28930,55.267822,4.194311980778961,8,"[621, 629, 647, 1469, 3189, 5002, 7023, 9500]",,"(38.42754724,-0.40086509)"
7101,Catarroja,Comunitat Valenciana,Valencia,28608,13.1569,2.0464509640486543,3,"[1469, 7231, 7734]",,"(39.40248625,-0.40311595)"
219,Jávea,Comunitat Valenciana,Alicante,28016,68.590349,4.672572645620065,3,"[1469, 1944, 6313]",,"(38.78925837,0.16340067)"
3178,Eibar,País Vasco,Gipuzkoa,27769,24.775979000000003,2.8082771611256656,18,"[311, 334, 1075, 1076, 1106, 2638, 2774, 3339, 3411, 4894, 7133, 7243, 7646, 8287, 8559, 8913, 8917, 8997]",,"(43.18542077,-2.47092183)"
6155,Morón de la Frontera,Andalucía,Sevilla,27633,431.93160000000006,11.725518194474535,3,"[374, 396, 7486]",,"(37.12022462,-5.44898927)"
7242,Sueca,Comunitat Valenciana,Valencia,27566,92.516277,5.426672713363863,3,"[1469, 7231, 8540]",,"(39.20242834,-0.31552389)"
7582,Sestao,País Vasco,Bizkaia,27452,3.5785,1.0672718791710312,28,"[1070, 1280, 1282, 1572, 1587, 1609, 1616, 1618, 2929, 3907, 4629, 4749, 4934, 5694, 6244, 6929, 6931, 6933, 6936, 6940, 7199, 8365, 8421, 8445, 8476, 8604, 9957, 10329]",,"(43.31113782,-3.0066296)"
1841,Benicarló,Comunitat Valenciana,Castellón,27363,47.864056,3.9032763917345736,4,"[1837, 5500, 5502, 8682]",,"(40.41889048,0.42396296)"
4518,Cártama,Andalucía,Málaga,26738,105.099833,5.783963835433733,3,"[4541, 5997, 5998]",,"(36.71005782,-4.63171653)"
988,Molins de Rei,Cataluña,Barcelona,25940,15.7191,2.236857892552499,3,"[1292, 1732, 8149]",,"(41.4132111,2.01736908)"
5829,Piélagos,Cantabria,Cantabria,25731,84.3084,5.180360455970368,6,"[686, 1854, 5780, 5792, 6299, 9134]",,"(43.35605556,-3.956583333)"
226,Mutxamel,Comunitat Valenciana,Alicante,25645,47.653187,3.894668799762326,9,"[621, 629, 647, 680, 1469, 3189, 5002, 7023, 9500]",,"(38.41368396,-0.44522331)"
4488,Alhaurín el Grande,Andalucía,Málaga,25358,73.099567,4.823718528328519,3,"[1583, 4541, 5998]",,"(36.64510025,-4.68702469)"
7188,Oliva,Comunitat Valenciana,Valencia,25224,59.929324,4.3676139588343466,5,"[768, 1469, 2248, 2923, 3543]",,"(38.92087548,-0.1206552)"
1893,Onda,Comunitat Valenciana,Castellón,24980,108.2012,5.86868223010087,5,"[528, 586, 5225, 5226, 6989]",,"(39.96420713,-0.26316353)"
7077,Bétera,Comunitat Valenciana,Valencia,24604,75.095749,4.889137287897879,3,"[1472, 2478, 7040]",,"(39.59086755,-0.46050256)"
7597,Erandio,País Vasco,Bizkaia,24530,18.1701,2.4049342897719064,39,"[32, 1070, 1280, 1282, 1572, 1587, 1609, 1613, 1616, 1618, 2516, 2929, 3251, 3290, 3907, 4191, 4489, 4629, 4749, 4934, 5694, 6244, 6929, 6931, 6933, 6936, 6940, 7199, 8365, 8421, 8445, 8476, 8590, 8604, 8724, 9957, 9992, 10325, 10329]",,"(43.30288679,-2.975457687)"
254,Sant Joan d'Alacant,Comunitat Valenciana,Alicante,24367,9.638765,1.7516012718462743,4,"[621, 629, 647, 1469]",,"(38.40151192,-0.43660694)"
3575,Martos,Andalucía,Jaén,24343,261.100488,9.116505485596308,3,"[8589, 8765, 8827]",,"(37.72361102,-3.96731694)"
2704,Armilla,Andalucía,Granada,24340,4.3103,1.171327406862282,20,"[1520, 2455, 2784, 3434, 3449, 3454, 3460, 3467, 3499, 3501, 3747, 3927, 4006, 4127, 4759, 4761, 5257, 5889, 7028, 8326]",,"(37.14031436,-3.62690297)"
216,Ibi,Comunitat Valenciana,Alicante,23564,62.524351,4.461173893811192,3,"[650, 3189, 8422]",,"(38.62745682,-0.57466482)"
7154,Llíria,Comunitat Valenciana,Valencia,23482,228.0403,8.519818789012259,3,"[1472, 7040, 7904]",,"(39.62586366,-0.59442849)"
3227,Zarautz,País Vasco,Gipuzkoa,23360,14.352811,2.1374356019260445,19,"[334, 2722, 2730, 7133, 7243, 7611, 7626, 7627, 7629, 7630, 7631, 7646, 7659, 8244, 8247, 8867, 8913, 8917, 9256]",,"(43.2863354,-2.17760995)"
4522,Coín,Andalucía,Málaga,22673,127.361,6.367116349942101,4,"[1583, 4541, 4584, 5998]",,"(36.65987005,-4.75958685)"
155,Altea,Comunitat Valenciana,Alicante,22558,34.427986000000004,3.3103991721376653,5,"[629, 1444, 1469, 1820, 9500]",,"(38.59892497,-0.05144236)"
2791,Maracena,Andalucía,Granada,22306,4.889417,1.2475360232718071,7,"[2784, 3449, 4759, 4761, 5889, 5938, 6680]",,"(37.20723971,-3.63439797)"
4591,Alhama de Murcia,Región de Murcia,Murcia,22160,313.0252,9.98192280003415,3,"[691, 6089, 7021]",,"(37.85237594,-1.42462332)"
3203,Arrasate,País Vasco,Gipuzkoa,22073,33.0287,3.242427663502,23,"[93, 311, 334, 1026, 1075, 1076, 1530, 3147, 3306, 3307, 3310, 3311, 3339, 3744, 3801, 7133, 7243, 7597, 8054, 8287, 8502, 8913, 8997]",,"(43.0652967,-2.49099614)"
2849,Las Gabias,Andalucía,Granada,21543,39.059,3.526022797866183,19,"[1520, 2455, 3434, 3449, 3460, 3467, 3499, 3501, 3747, 3927, 4006, 4127, 4400, 4759, 4761, 5257, 5889, 6680, 7028]",,"(37.13643395,-3.66739217)"
