ID,name,ccaa,province,start,midpoint,trailrank,distance,gradient,min_alt,max_alt,municipality,mountain_passes_ids,municipalities_ids,difficulty_score
2565,Las Majadas por Cuenca.,,,"[-2.130344,40.059275]","[-1.892024,40.265415]",57,114,1440,919,1523,,[831],[2295],5
3460,Montefrío por Loja y Albolote.,,,"[-3.600144,37.180559]","[-4.011335,37.317883]",91,151,1294,489,1057,,[833],"[2787, 2689, 2771]",5
4629,Sollube y Eleizalde por Bermeo.,,,"[-2.98902,43.327078]","[-2.763745,43.370713]",21,84,1549,0,684,,"[589, 835]",[7515],4
8145,Rincón Bello por Alicante y Agost.,,,"[-0.513516,38.397903]","[-0.754893,38.448691]",54,85,1456,87,870,,[837],"[151, 139]",4
4217,Carmona y Collado De Hoz por Cabezón de la Sal y San Vicente de la Barquera.,,,"[-4.191592,43.328232]","[-4.567598,43.246917]",39,117,1928,8,675,,"[288, 681, 838]","[5789, 5857, 5042]",5
226,Bianditz y Jaizkibel por Donostia y Irun.,,,"[-1.924862,43.319638]","[-1.738614,43.264983]",49,112,2399,0,647,,"[202, 257, 732, 842, 1048]","[3217, 3193]",6
9705,Alto De Las Solanas y Llombera por León y La Robla.,,,"[-5.586577,42.610818]","[-5.586562,42.84939]",15,84,1218,784,1371,,"[843, 937]","[3698, 3740]",4
4062,Ermita De San Cristóbal por Llucena.,,,"[-0.21219,40.080903]","[-0.247815,40.195561]",29,42,1356,73,1169,,[844],[1881],4
10048,Santa Locaia y Costa De Barcés por Arteixo.,,,"[-8.509647,43.300881]","[-8.417842,43.182579]",8,72,1929,17,480,,"[693, 846]",[2137],5
1504,Oiz y  El Vivero - Ganguren por Durango y Gernika-Lumo.,,,"[-2.407311,43.119504]","[-2.594834,43.227691]",34,90,2217,40,1033,,"[12, 172, 290, 338, 417, 606, 848, 1096, 1110]","[7525, 7544, 7527]",6
8834,Gaucín y El Espino por Ronda y Cortes de la Frontera.,,,"[-5.2491,36.724215]","[-5.378304,36.532642]",34,87,2530,202,846,,"[151, 171, 488, 761, 853, 909]","[4563, 4526]",6
828,Portillo De Las Batuecas y Batuecas por La Alberca.,,,"[-6.044034,40.532768]","[-6.128152,40.419417]",39,67,1750,468,1340,,"[127, 668, 855]",[5370],5
7611,Bidania y Aia por Zarautz y Tolosa.,,,"[-2.051701,43.271871]","[-2.156972,43.125299]",47,113,2016,32,600,,"[724, 812, 856, 911]","[3227, 3219, 3165]",6
496,Alobras por Albarracín.,,,"[-1.235423,40.319501]","[-1.431873,40.305324]",28,117,1823,1086,1627,,[857],[6572],5
48,Fuente Las Varas y Cruz De Usaño por Ribamontán al Monte.,,,"[-3.696241,43.345196]","[-3.559108,43.287489]",54,59,1272,99,731,,"[859, 1034]",[5839],4
2561,Ciudad Encantada y Alto Del Lugar por Cuenca.,,,"[-2.129838,40.059476]","[-1.945949,40.174152]",52,92,1330,927,1417,,"[860, 993]",[2295],4
8446,El Portillo y El Portillo por Valderrobres y Morella.,,,"[0.154307,40.874477]","[-0.078798,40.642875]",45,108,2368,447,1241,,"[869, 908]","[6784, 1889]",6
3068,Errea y Usetxi por Pamplona y Esteribar.,,,"[-1.633454,42.761245]","[-1.527086,42.94553]",28,88,1259,442,842,,"[871, 984]","[4830, 4727]",4
8576,Azpirotz y Urkillaga por Tolosa.,,,"[-1.961283,42.92503]","[-2.08687,43.106182]",39,110,2266,99,1214,,"[242, 873, 1043, 1090]",[3219],6
9424,Santuario Del Brezo y Santuario Del Brezo por Velilla del Río Carrión.,,,"[-4.594987,42.891148]","[-4.730585,42.874798]",21,53,1921,1083,1745,,"[334, 875]",[5223],5
7966,Refugio De Lizara y Fuerte Rapitán por Jaca.,,,"[-0.549998,42.666648]","[-0.6474,42.738312]",42,103,2303,781,1517,,"[634, 876]",[3421],6
8412,Urtsua por Baztan.,,,"[-1.638894,43.234378]","[-1.583233,43.15616]",50,56,1116,63,559,,[882],[4679],3
1530,Kanpazar y Atxondo por Arrasate.,,,"[-2.556253,43.140344]","[-2.496761,43.117391]",15,43,1264,68,557,,"[379, 712, 883]",[3203],3
2255,El Navaliegu y La Cruz por Oviedo y Siero.,,,"[-5.924864,43.331895]","[-5.595622,43.196373]",23,110,1595,87,838,,"[719, 884, 1071]","[5039, 5061, 5026, 5027]",5
6291,Augasantas por Santiago de Compostela y Padrón.,,,"[-8.522832,42.845279]","[-8.70977,42.767943]",23,72,1198,9,441,,[890],"[2209, 2196]",4
8497,Nuestra Señora De Tremedal y Orihuela por Albarracín.,,,"[-1.588428,40.507439]","[-1.623362,40.334566]",42,118,2853,1249,1773,,"[893, 1070]",[6572],7
8291,Oñatz y Mandubia por Azkoitia.,,,"[-2.307895,43.091995]","[-2.295061,43.119963]",17,48,1485,72,776,,"[901, 917]",[3165],4
8540,Radar De Cullera por València.,,,"[-0.36836,39.445999]","[-0.244921,39.165365]",40,88,951,0,221,,[906],[7257],4
8569,El Portillo y El Portillo por Valderrobres.,,,"[0.154588,40.874704]","[-0.03441,40.836788]",39,78,1096,452,916,,"[869, 908]",[6784],4
3862,Gaucín y El Espino por Cortes de la Frontera.,,,"[-5.436733,36.421055]","[-5.405582,36.624827]",36,111,1884,12,813,,"[151, 171, 488, 909]",[4526],5
4988,Aia y Andazarrate por Donostia.,,,"[-1.972919,43.32632]","[-2.157745,43.227003]",43,69,583,1,421,,"[812, 911]",[3217],3
6680,Puerto Lope (Velillos) y Montefrío por Loja y Albolote.,,,"[-3.608598,37.163225]","[-4.151805,37.248043]",87,156,1398,464,1001,,"[354, 833, 912, 1049]","[2787, 2689, 2771]",5
3776,Artesiaga y Egozkue por Baztan y Esteribar.,,,"[-1.8318,42.918805]","[-1.515497,43.073848]",37,130,2379,119,972,,"[152, 916]","[4679, 4727, 4897]",6
8247,Mandubia y Lizarrusti por Zarautz y Azkoitia.,,,"[-2.168903,43.281146]","[-2.175835,43.004222]",55,115,1957,0,1043,,"[917, 1043]","[3227, 3165, 4888, 3210]",5
646,Beneixama por Ontinyent y Villena.,,,"[-0.666913,38.604024]","[-0.692319,38.795106]",61,89,1301,392,1000,,[918],"[7191, 274, 190]",4
3229,Tentudía y Monasterio De Tentudía por Monesterio y Fuentes de León.,,,"[-6.536784,38.067929]","[-6.342616,38.052566]",19,57,1080,588,1153,,"[614, 628, 923]","[718, 688]",3
2459,El Vacar y Cerro Muriano por Córdoba y Obejo.,,,"[-4.792862,37.89648]","[-4.918189,38.088016]",23,78,1135,119,627,,"[925, 944]","[2076, 2102]",4
253,Jaizkibel y Fuerte De San Marcos por Donostia y Irun.,,,"[-1.924926,43.319603]","[-1.809514,43.369723]",33,65,1346,9,527,,"[257, 926]","[3217, 3193]",4
1003,Humaran y Alisedo por Zalla.,,,"[-3.077773,43.177849]","[-3.235167,43.262905]",27,67,828,48,464,,"[387, 928]",[7594],3
3200,Etxaguen por Vitoria-Gasteiz y Zuia.,,,"[-2.7012,42.846552]","[-2.675169,42.980335]",16,65,420,502,673,,[935],"[44, 48]",2
2317,Llombera por La Robla.,,,"[-5.639282,42.885687]","[-5.546851,42.915437]",30,66,1184,979,1404,,[937],[3740],4
5502,Mont Caro y Vistabella por Benicarló y La Sénia.,,,"[0.396117,40.364662]","[0.348029,40.809962]",60,190,2467,2,1371,,"[8, 942]","[1841, 6423]",7
5791,Cerro Muriano por Córdoba y Espiel.,,,"[-4.927943,38.108037]","[-4.764995,37.95577]",33,79,1135,262,656,,[944],"[2076, 2081, 2102]",4
6989,Collado De Jinquer y Collado De Cuatro Caminos por Onda.,,,"[-0.430233,39.815404]","[-0.351639,39.981714]",62,95,2186,245,821,,"[523, 945]",[1893],6
2601,Aintzioa por Pamplona y Esteribar.,,,"[-1.629473,42.759638]","[-1.439825,42.925475]",37,84,919,436,970,,[946],"[4830, 4727]",3
8592,Canencia y Fresnedillas por Soto del Real y Torrelaguna.,,,"[-3.621507,40.928548]","[-3.733313,40.732819]",39,117,1883,693,1510,,"[309, 947]","[4438, 4445]",5
5759,Puerto De La Reina por Arenas de San Pedro.,,,"[-5.085086,40.206255]","[-4.954605,40.305305]",35,88,1877,397,1639,,[948],[392],5
8391,Guirguillano por Puente la Reina y Valle de Yerri.,,,"[-1.93316,42.721955]","[-1.704817,42.663683]",53,73,1035,332,733,,[949],"[4835, 4888]",4
2045,Desierto De Las Palmas por Castelló de la Plana y Cabanes.,,,"[-0.027507,39.978729]","[0.045256,40.121847]",49,57,604,54,470,,[950],"[1853, 1846]",3
8415,Puerto De Las Abejas y Puerto Martínez por Yunquera.,,,"[-4.924308,36.988197]","[-4.889315,36.84412]",49,167,4059,46,875,,"[700, 951]",[4579],10
5310,La Camperona por Oviedo y Siero.,,,"[-5.827808,43.381264]","[-5.60607,43.329755]",35,63,746,169,570,,[954],"[5039, 5061]",3
8113,Bustidoño y Montesclaros por Reinosa.,,,"[-3.945925,42.991778]","[-4.050827,42.94261]",28,92,1094,768,1062,,"[934, 955]",[5836],4
621,Relleu por Alicante y Relleu.,,,"[-0.484391,38.346008]","[-0.263316,38.575023]",62,99,1726,13,496,,[956],"[151, 247]",5
2231,Etxauri y Genbe por Pamplona y Irurtzun.,,,"[-1.654524,42.814657]","[-1.88327,42.839093]",51,103,1577,389,925,,"[286, 957]","[4830, 4897, 4888]",5
