ID,municipality,ccaa,province,municipality_inhabitants,geographic_area,radius,routes_number,routes_ids,mountain_passes_ids,coords,coords_MDB
7220,Requena,Comunitat Valenciana,Valencia,20405,814.4642,16.101285680349385,3,"[1472, 6010, 7661]","[597, 969, 548, 861]","(39.48606411,-1.10026975)","[-1.10026975,39.48606411]"
3219,Tolosa,País Vasco,Gipuzkoa,19816,37.3936,3.4500325688686098,23,"[334, 1360, 2728, 3147, 3605, 7133, 7177, 7243, 7342, 7348, 7611, 7620, 7621, 7629, 7630, 7631, 7641, 7648, 7658, 8244, 8287, 8576, 8913]","[178, 257, 281, 290, 303, 328, 331, 341, 347, 353, 357, 379, 382, 386, 394, 609, 616, 724, 732, 782, 812, 842, 856, 911, 917, 1000, 1039, 1048, 1059, 1065, 1096, 397, 823, 1090, 1044, 279, 373, 1042, 253, 343, 1107, 242, 367, 378, 322, 1043, 731, 873]","(43.13829669,-2.07170336)","[-2.07170336,43.13829669]"
2689,Albolote,Andalucía,Granada,18962,78.584091,5.001403259923439,13,"[1520, 2784, 3449, 3460, 3501, 3747, 4006, 4400, 4759, 4761, 5889, 5938, 6680]","[198, 258, 492, 826, 164, 230, 833, 970, 354, 912, 1049, 296, 308, 72, 140, 714]","(37.23090185,-3.65748033)","[-3.65748033,37.23090185]"
2143,Boiro,Galicia,A Coruña,18884,86.578812,5.2496502120733215,3,"[432, 9347, 9590]","[96, 196, 764, 183]","(42.64705741,-8.882717944)","[-8.882717944,42.64705741]"
4427,San Lorenzo de El Escorial,Comunidad de Madrid,Madrid,18532,56.401833,4.237123913735756,3,"[336, 398, 2879]","[1019, 159, 310, 346]","(40.59254063,-4.14508803)","[-4.14508803,40.59254063]"
2761,Guadix,Andalucía,Granada,18436,324.1961,10.158473427558194,4,"[3453, 5760, 7028, 8326]","[1030, 714, 22, 55, 490]","(37.30161072,-3.13638082)","[-3.13638082,37.30161072]"
1065,Sant Celoni,Cataluña,Barcelona,18136,65417,4.5632038231545895,4,"[6723, 6727, 8108, 8378]","[18, 88, 130, 450]","(41.6897174,2.4898404)","[2.4898404,41.6897174]"
7544,Gernika-Lumo,País Vasco,Bizkaia,17105,8.531799999999999,1.6479532567212491,24,"[311, 334, 385, 872, 1029, 1504, 1525, 3253, 3338, 3339, 3341, 3411, 4934, 7133, 7243, 8365, 8559, 8724, 8863, 8866, 8913, 8917, 8997, 9764]","[279, 295, 357, 373, 178, 257, 281, 290, 303, 328, 331, 341, 347, 353, 379, 382, 386, 394, 609, 616, 724, 732, 782, 812, 842, 856, 911, 917, 1000, 1039, 1048, 1059, 1065, 1096, 12, 417, 1042, 1110, 338, 414, 1084, 804, 172, 606, 848, 174, 326, 365, 791, 589, 327, 722, 371, 671, 927, 313, 385, 526, 699, 712, 311]","(43.31451965,-2.68146436)","[-2.68146436,43.31451965]"
7515,Bermeo,País Vasco,Bizkaia,16864,33.8079,3.2804517427274607,18,"[311, 334, 1521, 1525, 3253, 3338, 3339, 4629, 7133, 7243, 8119, 8365, 8791, 8866, 8913, 8917, 8997, 9764]","[279, 295, 357, 373, 178, 257, 281, 290, 303, 328, 331, 341, 347, 353, 379, 382, 386, 394, 609, 616, 724, 732, 782, 812, 842, 856, 911, 917, 1000, 1039, 1048, 1059, 1065, 1096, 214, 327, 722, 835, 174, 326, 365, 791, 1042, 338, 589, 172, 606, 927, 313, 385, 526, 699, 712, 311]","(43.42025856,-2.72254057)","[-2.72254057,43.42025856]"
887,Berga,Cataluña,Barcelona,16760,22.539283,2.678518215242581,3,"[1489, 1511, 5935]","[16, 260, 808, 27, 66]","(42.10328874,1.8440247)","[1.8440247,42.10328874]"
