ID;lat;long
C917E;274331N;180654W
C925F;274607N;175736W
C929I;274908N;175320W
C939T;274523N;180624W
0002I;405729N;005217E
0009X;411250N;005748E
0016A;410859N;011044E
0034X;411735N;011539E
0042Y;410726N;011457E
9726E;413326N;011834E
9946X;405711N;001842E
9947X;411038N;002112E
9961X;411458N;004407E
9975X;410018N;003649E
9981A;404913N;002936E
9987P;404157N;004836E
8354X;402511N;012629W
8368U;402102N;010727W
8376;401410N;012442W
8458X;402550N;005058W
8486X;402145N;002716W
9374X;403400N;011915W
9381I;405534N;011736W
9436X;405943N;010515W
9513X;410152N;004820W
9531Y;404943N;004735W
9546B;411019N;002631W
9550C;405828N;002428W
9561X;404754N;001855W
9569A;405648N;001416W
9573X;410329N;000830W
9935X;405224N;000846E
9998X;405517N;012940W
3099Y;395606N;032946W
3245Y;394146N;033021W
3254Y;394113N;034650W
3260B;395305N;040243W
3298X;393249N;042102W
3305Y;393750N;042837W
3362Y;400629N;044050W
3365A;395731N;045149W
3427Y;395936N;050652W
4061X;393551N;030249W
4067;392931N;033142W
4236Y;392647N;050113W
8058X;385544N;000545W
8058Y;385701N;000816W
8072Y;390101N;001817W
8193E;391230N;010540W
8203O;390458N;010604W
8270X;390801N;004724W
8283X;384946N;003628W
8290X;385516N;005258W
8293X;390006N;003125W
8300X;390648N;002645W
8309X;393432N;011441W
8319X;392703N;005125W
8325X;391105N;002219W
8337X;392332N;003729W
8381X;400338N;011701W
8395X;394512N;005935W
8409X;393950N;003914W
8414A;392906N;002829W
8416Y;392850N;002159W
8446Y;394227N;001515W
2166Y;413535N;040729W
2172Y;413643N;042420W
2422;413827N;044516W
2503B;411648N;044131W
2503X;411933N;044113W
2507Y;412528N;045755W
2517A;411022N;045623W
2593D;420510N;045943W
2604B;415233N;050225W
2536D;413255N;051618W
2555B;411412N;052853W
2611D;415123N;053533W
2614;413056N;054407W
2755X;420039N;054000W
2766E;420456N;063824W
2775X;415629N;061647W
2777K;420441N;060026W
2789H;414708N;055432W
2804F;413202N;060831W
2882D;411420N;055351W
2885K;411816N;060120W
2966D;414100N;061805W
9244X;422927N;011249W
9299X;415453N;014324W
9321X;420716N;010823W
9336D;415903N;005945W
9354X;411735N;015343W
9390;410652N;012436W
9394X;411952N;013843W
9427X;412852N;012251W
9434P;413715N;005606W
9443V;413800N;005256W
9495Y;414748N;003702W
9501X;412635N;005309W
9510X;412545N;003014W
9574X;411349N;000216W
9576C;413121N;001028W
1351;434710N;074105W
8177A;385613N;013932W
6332X;365848N;015412W
6381;355618N;030210W
1331D;433207N;070108W
3391;401719N;043527W
4090Y;392501N;022515W
9894X;414757N;000939W
9718X;414052N;011323E
9990X;424201N;005237E
6172O;364300N;042511W
6205X;364335N;035726W
9174;422227N;020320W
5051X;375140N;023910W
9814X;423815N;000646W
9562X;403718N;000607W
9001S;430212N;042228W
3272M;403444N;035627W
8175;385715N;015123W
1025A;430056N;021524W
9434;413938N;010015W
9677;422436N;011253E
8005X;384648N;004745W
5107D;371048N;025911W
2661;423518N;053904W
C668V;280540N;154030W
C614H;275943N;153657W
B800X;395231N;041859E
B103B;393445N;022208E
B925;385747N;011917E
2285B;423126N;040004W
3344E;402615N;040119W
C316I;280742N;171854W
5788X;372142N;060335W
B228D;393309N;023821E
1446X;424835N;074606W
7019B;374146N;004420W
1354C;432835N;081533W
9814I;423922N;000728W
5514Z;370810N;033760W
C101A;284521N;175343W
9839V;423318N;003235E
9451F;424216N;001631W
B051A;394744N;024129E
9988B;424131N;005826E
B640X;393659N;030716E
9293X;421034N;014438W
9445L;424545N;002334W
9574B;411433N;000407W
1387D;432148N;082631W
