ID,name,province,municipality,altitude,gradient,distance,mountain_slope,technical_difficulty,url,peak_coords,photo
350,Izpegi,Navarra,Erratzu,671,378,8.0,4.0,55,https://www.altimetrias.net/aspbk/verPuerto.asp?id=345,"[-1.402602,43.175733]",
352,El Cargadero,Soria,Navaleno,1330,235,10.0,2.0,54,https://www.altimetrias.net/aspbk/verPuerto.asp?id=103,"[-3.025239,41.907237]",
353,Muniketa,Bizkaia,Arriandi/La Pilastra,380,259,3.0,7.0,52,https://www.altimetrias.net/aspbk/verPuerto.asp?id=263,"[-2.672145,43.222918]",
354,Puerto Lope (Velillos),Granada,Pinos Puente,905,335,11.0,2.0,52,https://www.altimetrias.net/aspbk/verPuerto.asp?id=642,"[-3.831275,37.330628]",
356,Gredilla De Sedano,Burgos,Sedano,1079,316,9.0,3.0,50,https://www.altimetrias.net/aspbk/verPuerto.asp?id=594,"[-3.666859,42.753378]",
357,Natxitua,Bizkaia,Ea,205,200,2.0,8.0,50,https://www.altimetrias.net/aspbk/verPuerto.asp?id=561,"[-2.613555,43.381051]",
358,San Pedro De Abrisketa,Bizkaia,Arrigorriaga,278,234,3.0,7.0,50,https://www.altimetrias.net/aspbk/verPuerto.asp?id=570,"[-2.921376,43.218477]",
360,Hoyomenor,Cantabria,Ampuero,346,330,6.0,5.0,50,https://www.altimetrias.net/aspbk/verPuerto.asp?id=354,"[-3.365893,43.333803]",
362,Andikona,Bizkaia,N-634,349,220,4.0,5.0,49,https://www.altimetrias.net/aspbk/verPuerto.asp?id=549,"[-2.584072,43.19159]",
364,Azazeta,Álava,Egileta,887,271,4.0,6.0,48,https://www.altimetrias.net/aspbk/verPuerto.asp?id=268,"[-2.50997,42.789677]",
365,Nª Sª De Oro,Álava,Bitoriano,819,215,2.0,7.0,48,https://www.altimetrias.net/aspbk/verPuerto.asp?id=281,"[-2.827885,42.931149]",
367,Garate,Gipuzkoa,Getaria,245,216,2.0,7.0,47,https://www.altimetrias.net/aspbk/verPuerto.asp?id=604,"[-2.202281,43.290418]",
368,Ro,Burgos,El Refugio (Artziniega),546,321,7.0,4.0,47,https://www.altimetrias.net/aspbk/verPuerto.asp?id=270,"[-3.216848,43.104586]",
371,Beci,Bizkaia,El Carral (Sopuerta),336,224,3.0,5.0,43,https://www.altimetrias.net/aspbk/verPuerto.asp?id=245,"[-3.186392,43.234656]",
373,Arlaban,Gipuzkoa,Arrasate/Mondragón,617,305,7.0,4.0,41,https://www.altimetrias.net/aspbk/verPuerto.asp?id=328,"[-2.572423,42.975647]",
374,Zollo,Bizkaia,Ugao-Miraballes,312,237,4.0,5.0,41,https://www.altimetrias.net/aspbk/verPuerto.asp?id=543,"[-2.938199,43.192521]",
375,Zaldiaran,Burgos,Treviño,806,282,8.0,3.0,40,https://www.altimetrias.net/aspbk/verPuerto.asp?id=602,"[-2.7282,42.7909]",
376,La Horca,Burgos,San Pantaleón de Losa,896,271,5.0,5.0,40,https://www.altimetrias.net/aspbk/verPuerto.asp?id=595,"[-3.245387,42.923969]",
377,La Escrita,Bizkaia,El Callejo (Karrantza),433,285,6.0,4.0,39,https://www.altimetrias.net/aspbk/verPuerto.asp?id=127,"[-3.293495,43.237512]",
378,Uitzi,Navarra,Lekunberri,810,228,5.0,4.0,39,https://www.altimetrias.net/aspbk/verPuerto.asp?id=214,"[-1.914637,43.049812]",
379,Kanpazar,Bizkaia,Elorrio,451,251,5.0,4.0,39,https://www.altimetrias.net/aspbk/verPuerto.asp?id=327,"[-2.505612,43.096674]",
381,Seña,Cantabria,Limpias,257,250,5.0,4.0,38,https://www.altimetrias.net/aspbk/verPuerto.asp?id=130,"[-3.408912,43.383769]",
382,Gontzegaraigane,Bizkaia,Iruzubieta,361,238,5.0,4.0,38,https://www.altimetrias.net/aspbk/verPuerto.asp?id=474,"[-2.57221,43.252314]",
